,order_id,customer_id,order_status,order_date,channel_id,billing_address_id,shipping_address_id,currency_x,shipping_amount,order_subtotal,order_discount,order_tax,order_total,created_at,payment_method,amount,currency_y,payment_status,paid_at,transaction_id
0,100001,228,delivered,2025-08-24 05:25:58,1,359.0,358,ARS,0.0,608021.07,37631.06,119781.9,690171.91,2025-08-24 05:25:58,bank_transfer,690171.91,ARS,captured,2025-08-25 20:25:58,TX-200001
1,100002,101,delivered,2025-07-22 13:53:32,3,157.0,156,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,TX-200002
2,100003,99,paid,2025-07-25 22:00:42,3,154.0,153,ARS,0.0,138581.1,16629.73,25609.79,147561.16,2025-07-25 22:00:42,mercado_pago,147561.16,ARS,captured,2025-07-27 05:00:42,TX-200003
3,100004,9,shipped,2025-08-30 13:25:10,1,,14,ARS,0.0,125460.5,15055.26,23185.1,133590.34,2025-08-30 13:25:10,mercado_pago,79154.58,ARS,captured,2025-08-31 00:25:10,TX-200004
4,100004,9,shipped,2025-08-30 13:25:10,1,,14,ARS,0.0,125460.5,15055.26,23185.1,133590.34,2025-08-30 13:25:10,bank_transfer,54435.76,ARS,captured,2025-08-31 04:54:10,TX-200005
5,100005,108,canceled,2025-07-08 10:31:47,3,,168,ARS,0.0,823628.91,82362.89,155665.86,896931.88,2025-07-08 10:31:47,,,,,,
6,100006,14,delivered,2025-08-19 00:59:38,3,,21,ARS,0.0,229681.2,11338.91,45851.88,264194.17,2025-08-19 00:59:38,mercado_pago,264194.17,ARS,captured,2025-08-20 12:59:38,TX-200006
7,100007,198,paid,2025-07-27 23:12:48,4,307.0,306,ARS,0.0,427878.49,51345.42,79071.94,455605.02,2025-07-27 23:12:48,credit_card,455605.02,ARS,captured,2025-07-29 09:12:48,TX-200007
8,100008,78,delivered,2025-08-08 08:30:26,4,,120,ARS,0.0,863637.37,51481.94,170552.64,982708.07,2025-08-08 08:30:26,credit_card,982708.07,ARS,captured,2025-08-11 04:30:26,TX-200008
9,100009,174,paid,2025-06-02 00:18:30,2,267.0,266,ARS,0.0,108672.64,0.0,22821.25,131493.89,2025-06-02 00:18:30,debit_card,62903.64,ARS,captured,2025-06-04 20:18:30,TX-200009
10,100009,174,paid,2025-06-02 00:18:30,2,267.0,266,ARS,0.0,108672.64,0.0,22821.25,131493.89,2025-06-02 00:18:30,mercado_pago,68590.25,ARS,captured,2025-06-04 22:31:30,TX-200010
11,100010,15,canceled,2025-08-21 04:26:03,2,,22,ARS,0.0,325132.8,6502.66,66912.33,385542.47,2025-08-21 04:26:03,,,,,,
12,100011,230,delivered,2025-07-03 10:43:29,1,363.0,362,ARS,0.0,789062.52,35466.35,158255.19,911851.36,2025-07-03 10:43:29,credit_card,911851.36,ARS,captured,2025-07-05 11:43:29,TX-200011
13,100012,65,created,2025-08-03 05:25:10,4,102.0,101,ARS,0.0,445442.67,31180.99,86994.95,501256.64,2025-08-03 05:25:10,bank_transfer,330851.52,ARS,authorized,,TX-200012
