session_id,session_date,channel,customer_id,campaign_id
1,2025-07-27,organic_search,,
2,2025-06-30,direct,172.0,
3,2025-05-01,direct,2622.0,
4,2025-06-30,email,3791.0,7.0
5,2025-06-19,paid_search,,2.0
6,2025-05-12,paid_search,4898.0,3.0
7,2025-07-03,organic_search,,
8,2025-05-14,direct,,
9,2025-06-15,social,1686.0,6.0
10,2025-05-29,direct,3264.0,
11,2025-05-14,paid_search,2764.0,3.0
12,2025-07-15,email,,
13,2025-05-07,email,4669.0,
14,2025-07-11,organic_search,,
15,2025-05-07,direct,,
16,2025-05-27,email,70.0,8.0
17,2025-07-15,organic_search,,
18,2025-07-22,organic_search,4714.0,
19,2025-06-07,direct,,
20,2025-05-15,direct,4637.0,
21,2025-06-03,organic_search,,
22,2025-07-01,paid_search,1321.0,2.0
23,2025-07-05,organic_search,3634.0,
24,2025-07-10,organic_search,,
25,2025-05-20,direct,605.0,
26,2025-06-28,affiliate,,11.0
27,2025-06-15,paid_search,3624.0,2.0
28,2025-05-29,social,,
29,2025-05-10,social,,
30,2025-06-30,paid_search,,2.0
31,2025-05-27,organic_search,,
32,2025-07-06,direct,,
33,2025-05-21,social,,
34,2025-06-07,direct,2252.0,
35,2025-06-30,direct,,
36,2025-07-28,organic_search,191.0,
37,2025-05-10,direct,,
38,2025-07-21,social,,6.0
39,2025-07-17,social,2820.0,6.0
40,2025-07-13,affiliate,,12.0
41,2025-07-16,direct,2223.0,
42,2025-06-13,paid_search,4547.0,1.0
43,2025-06-01,affiliate,103.0,10.0
44,2025-06-29,direct,,
45,2025-07-04,paid_search,,2.0
46,2025-05-17,direct,,
47,2025-05-28,direct,4778.0,
48,2025-05-22,organic_search,1914.0,
49,2025-05-26,organic_search,,
50,2025-05-19,organic_search,3971.0,
51,2025-05-31,email,3750.0,
52,2025-07-19,paid_search,,
53,2025-06-11,direct,,
54,2025-06-21,paid_search,,2.0
55,2025-06-11,organic_search,,
56,2025-06-28,paid_search,3637.0,2.0
57,2025-07-27,organic_search,,
58,2025-07-16,direct,2513.0,
59,2025-06-24,email,,7.0
60,2025-07-10,organic_search,,
61,2025-05-15,direct,,
62,2025-07-23,organic_search,,
63,2025-07-25,organic_search,,
64,2025-07-23,direct,,
65,2025-07-07,paid_search,,2.0
66,2025-06-11,paid_search,,3.0
67,2025-07-29,organic_search,4038.0,
68,2025-05-03,paid_search,2710.0,
69,2025-05-27,email,,
70,2025-07-22,organic_search,,
71,2025-05-17,organic_search,1738.0,
72,2025-06-07,email,1412.0,
73,2025-06-30,organic_search,,
74,2025-07-10,affiliate,,
75,2025-05-13,affiliate,3229.0,
76,2025-06-26,direct,,
77,2025-06-27,organic_search,,
78,2025-05-16,organic_search,,
79,2025-06-27,social,,4.0
80,2025-06-19,direct,1575.0,
81,2025-07-04,direct,,
82,2025-07-07,email,,7.0
83,2025-07-25,affiliate,,
84,2025-07-13,direct,,
85,2025-05-04,organic_search,,
86,2025-05-19,email,,
87,2025-07-11,direct,,
88,2025-06-24,paid_search,4026.0,2.0
89,2025-05-09,organic_search,,
90,2025-06-29,direct,,
91,2025-07-17,social,2629.0,6.0
92,2025-06-15,social,1733.0,4.0
93,2025-07-10,organic_search,,
94,2025-07-17,direct,,
95,2025-05-12,organic_search,,
96,2025-06-05,affiliate,2998.0,10.0
97,2025-06-05,organic_search,,
98,2025-07-01,organic_search,4080.0,
99,2025-06-08,direct,,
100,2025-07-19,organic_search,,
101,2025-05-26,social,,
102,2025-07-24,affiliate,4224.0,
103,2025-07-15,organic_search,,
104,2025-07-09,social,,
105,2025-05-19,social,,
106,2025-06-17,direct,,
107,2025-06-16,organic_search,,
108,2025-05-20,paid_search,,1.0
109,2025-05-15,email,,
110,2025-05-27,social,,
111,2025-06-21,paid_search,3510.0,2.0
112,2025-05-20,email,3764.0,
113,2025-06-06,organic_search,,
114,2025-06-03,email,,8.0
115,2025-07-20,paid_search,,
116,2025-07-08,direct,,
117,2025-05-30,social,,
118,2025-05-16,direct,,
119,2025-07-14,email,,
120,2025-06-23,direct,,
121,2025-06-06,organic_search,,
122,2025-07-11,social,3938.0,
123,2025-06-11,social,,4.0
124,2025-06-20,organic_search,1697.0,
125,2025-05-25,social,3095.0,
126,2025-05-30,social,2868.0,
127,2025-06-25,affiliate,4766.0,
128,2025-05-05,email,,
129,2025-07-30,paid_search,,
130,2025-06-02,organic_search,868.0,
131,2025-05-27,affiliate,,10.0
132,2025-05-03,organic_search,409.0,
133,2025-05-10,social,,
134,2025-06-07,organic_search,,
135,2025-06-09,organic_search,,
136,2025-05-01,paid_search,,
137,2025-06-05,organic_search,,
138,2025-06-01,affiliate,,
139,2025-06-06,paid_search,4469.0,
140,2025-07-08,direct,1.0,
141,2025-05-07,direct,186.0,
142,2025-07-27,social,3080.0,
143,2025-07-03,organic_search,2687.0,
