product_id,sku,product_name,brand,unit_price,unit_cost,active_from,active_to,created_at,category_name,parent_category_name
1,SKU-00001,Andina Remeras 001,Andina,112524.82,68777.76,2025-02-05,,2025-02-05 03:43:54,Remeras,Ropa
2,SKU-00002,Lago Remeras 002,Lago,9608.49,5509.74,2025-03-01,,2025-03-01 18:23:57,Remeras,Ropa
3,SKU-00003,Lago Zapatillas 003,Lago,36963.89,25775.53,2025-07-27,,2025-07-27 00:14:11,Zapatillas,Calzado
4,SKU-00004,Lago Pantalones 004,Lago,54336.32,31997.02,2025-07-15,,2025-07-15 12:15:18,Pantalones,Ropa
5,SKU-00005,Pampa Gorras 005,Pampa,57052.01,36284.45,2025-03-09,,2025-03-09 01:34:55,Gorras,Accesorios
6,SKU-00006,Lago Remeras 006,Lago,16426.03,10238.25,2025-06-10,2025-08-11,2025-06-10 22:31:10,Remeras,Ropa
7,SKU-00007,Pampa Zapatillas 007,Pampa,11644.54,7067.94,2025-03-16,2025-04-25,2025-03-16 02:54:18,Zapatillas,Calzado
8,SKU-00008,Cordillera Botas 008,Cordillera,97174.24,62308.91,2025-04-05,,2025-04-05 12:56:06,Botas,Calzado
9,SKU-00009,Pampa Botas 009,Pampa,93324.0,55321.03,2025-07-06,,2025-07-06 08:54:47,Botas,Calzado
10,SKU-00010,Estilo Gorras 010,Estilo,148480.89,105421.42,2025-05-23,,2025-05-23 07:59:45,Gorras,Accesorios
11,SKU-00011,Norte Camperas 011,Norte,124161.38,93277.66,2025-04-13,,2025-04-13 09:44:53,Camperas,Ropa
12,SKU-00012,Norte Mochilas 012,Norte,100038.61,64915.85,2025-06-14,,2025-06-14 16:42:22,Mochilas,Accesorios
13,SKU-00013,Norte Pantalones 013,Norte,113023.4,77392.13,2025-07-11,,2025-07-11 21:17:02,Pantalones,Ropa
14,SKU-00014,Río Gorras 014,Río,36801.51,29418.55,2025-05-11,,2025-05-11 17:58:06,Gorras,Accesorios
15,SKU-00015,Pampa Camperas 015,Pampa,27161.99,16025.45,2025-06-24,,2025-06-24 15:22:13,Camperas,Ropa
16,SKU-00016,Lago Gorras 016,Lago,91403.82,60967.49,2025-03-06,2025-03-24,2025-03-06 20:08:32,Gorras,Accesorios
17,SKU-00017,Río Botas 017,Río,21175.07,13947.83,2025-04-27,2025-08-12,2025-04-27 00:07:05,Botas,Calzado
18,SKU-00018,Pampa Pantalones 018,Pampa,131225.19,81964.72,2025-06-13,,2025-06-13 18:29:00,Pantalones,Ropa
19,SKU-00019,Río Pantalones 019,Río,115564.07,79143.44,2025-07-19,2025-08-23,2025-07-19 19:18:34,Pantalones,Ropa
20,SKU-00020,Andina Wearables 020,Andina,21220.82,13597.14,2025-08-01,,2025-08-01 11:11:46,Wearables,Electrónica
21,SKU-00021,Pampa Zapatillas 021,Pampa,17419.75,11697.32,2025-01-18,,2025-01-18 19:23:42,Zapatillas,Calzado
22,SKU-00022,Cordillera Pantalones 022,Cordillera,142293.06,84135.29,2025-05-16,,2025-05-16 22:05:07,Pantalones,Ropa
23,SKU-00023,Norte Zapatillas 023,Norte,108377.6,70418.14,2025-06-21,,2025-06-21 23:39:40,Zapatillas,Calzado
24,SKU-00024,Pampa Wearables 024,Pampa,40946.31,23175.88,2025-01-06,,2025-01-06 21:25:10,Wearables,Electrónica
25,SKU-00025,Andina Zapatillas 025,Andina,15294.0,10824.72,2025-02-28,2025-06-07,2025-02-28 02:27:14,Zapatillas,Calzado
26,SKU-00026,Estilo Zapatillas 026,Estilo,102001.78,61564.11,2025-02-03,,2025-02-03 20:47:27,Zapatillas,Calzado
27,SKU-00027,Cordillera Zapatillas 027,Cordillera,122087.06,72959.53,2025-01-25,,2025-01-25 23:59:34,Zapatillas,Calzado
28,SKU-00028,Lago Gorras 028,Lago,72718.58,53249.56,2025-06-22,2025-07-14,2025-06-22 23:47:29,Gorras,Accesorios
29,SKU-00029,Río Gorras 029,Río,121085.91,69904.99,2025-02-19,,2025-02-19 06:55:31,Gorras,Accesorios
30,SKU-00030,Lago Pantalones 030,Lago,31605.77,21038.6,2025-01-20,2025-06-24,2025-01-20 16:08:02,Pantalones,Ropa
31,SKU-00031,Andina Camperas 031,Andina,145504.46,113725.08,2025-03-02,,2025-03-02 06:03:18,Camperas,Ropa
32,SKU-00032,Norte Wearables 032,Norte,130374.31,101119.71,2025-02-12,,2025-02-12 13:47:52,Wearables,Electrónica
33,SKU-00033,Estilo Gorras 033,Estilo,139345.12,103990.8,2025-03-15,,2025-03-15 15:24:04,Gorras,Accesorios
34,SKU-00034,Sur Wearables 034,Sur,32535.19,19665.09,2025-01-15,,2025-01-15 21:05:14,Wearables,Electrónica
35,SKU-00035,Río Camperas 035,Río,13288.96,9249.71,2025-05-09,,2025-05-09 19:20:15,Camperas,Ropa
36,SKU-00036,Sur Remeras 036,Sur,14935.59,8468.34,2025-03-02,,2025-03-02 14:42:03,Remeras,Ropa
37,SKU-00037,Andina Zapatillas 037,Andina,94810.32,62082.39,2025-05-30,,2025-05-30 20:34:45,Zapatillas,Calzado
38,SKU-00038,Norte Botas 038,Norte,102110.27,64181.0,2025-03-09,,2025-03-09 14:24:36,Botas,Calzado
